algo,delta,device,seed,prompt_index,prompt_id,prompt_text,full_text,continuation_text,gen_params_json,ppl
hf.generate,0,0,1234,0,0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the ","After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the 17th of September 15th, to 10th day after Easter, but the date of his death is not certain. The life of St. Vergilius in Böcking's ""Geschichte des Bistums Salzburg"" (1857) is a useful and trustworthy work. St. Vergilius was succeeded by Tassilo I, who governed the see of Salzburg from 785 to 794. Tassilo was a descendant of the Bavarian royal family and was a patron of St. Rupert and St. Virgil. He was also a friend of Charlemagne and participated in the","17th of September 15th, to 10th day after Easter, but the date of his death is not certain. The life of St. Vergilius in Böcking's ""Geschichte des Bistums Salzburg"" (1857) is a useful and trustworthy work. St. Vergilius was succeeded by Tassilo I, who governed the see of Salzburg from 785 to 794. Tassilo was a descendant of the Bavarian royal family and was a patron of St. Rupert and St. Virgil. He was also a friend of Charlemagne and participated in the","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",3.5766050815582275
hf.generate,0,0,1236,2,2,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in ","8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in 3D space. With the new 8i Portal, viewers can watch and interact with volumetric 3D video content in a web browser, no special hardware or software required.

The 8i Portal allows users to view and interact with 8i's volumetric 3D video content, including live events, interviews, and educational content. The portal is compatible with a wide range of devices and browsers, including desktop computers, laptops, tablets, and smartphones.

""We are excited to bring our immersive volumetric 3D video to the masses with the launch of the 8i Portal,"" said 8i CEO, Andrew","3D space. With the new 8i Portal, viewers can watch and interact with volumetric 3D video content in a web browser, no special hardware or software required.

The 8i Portal allows users to view and interact with 8i's volumetric 3D video content, including live events, interviews, and educational content. The portal is compatible with a wide range of devices and browsers, including desktop computers, laptops, tablets, and smartphones.

""We are excited to bring our immersive volumetric 3D video to the masses with the launch of the 8i Portal,"" said 8i CEO, Andrew","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",2.48626708984375
hf.generate,0,0,1238,4,4,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering ","Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering  IT security solutions for Fortune 500 companies, startups and government agencies. Prior to joining the firm, Kispert was a managing director at KPMG, where he led the U.S. IT Advisory Cybersecurity practice and served as a national thought leader on cyber security matters. Before KPMG, Kispert was the CISO at Raytheon Company, responsible for global information security strategy, risk management and compliance. He also held various leadership roles at Lockheed Martin, Booz Allen Hamilton, and the U.S. Air Force. Kispert holds a master’s degree in Business Administration from the University of Virginia and a bachelor’s"," IT security solutions for Fortune 500 companies, startups and government agencies. Prior to joining the firm, Kispert was a managing director at KPMG, where he led the U.S. IT Advisory Cybersecurity practice and served as a national thought leader on cyber security matters. Before KPMG, Kispert was the CISO at Raytheon Company, responsible for global information security strategy, risk management and compliance. He also held various leadership roles at Lockheed Martin, Booz Allen Hamilton, and the U.S. Air Force. Kispert holds a master’s degree in Business Administration from the University of Virginia and a bachelor’s","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",3.7757480144500732
hf.generate,0,0,1240,6,6,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! ","Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain is ready to reclaim her throne as the Queen of Country Pop with her highly anticipated new album NOW, dropping on August 28, 2020. After a 15-year hiatus, the world is eager to see what the music icon has in store for us. With a new album and a world","6
Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! 6
Shania Twain is ready to reclaim her throne as the Queen of Country Pop with her highly anticipated new album NOW, dropping on August 28, 2020. After a 15-year hiatus, the world is eager to see what the music icon has in store for us. With a new album and a world","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",2.2914812564849854
hf.generate,0,0,1242,8,8,A blind man in his 60s is searching for the young man who pulled him back from an approaching train ,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train 20 years ago. He believes this young man saved his life. He sets out on a journey to find him, driven by his gratitude and the need for closure.
A visually impaired man, who has been searching for the young man who saved his life 20 years ago, sets out on a journey to find him. The young man had pulled him off the train tracks just in time, and the blind man wants to thank him and learn more about him.
A visually impaired man, who has been searching for the young man who saved his life 20 years ago, sets out on a journey to find him. The young man had pulled","20 years ago. He believes this young man saved his life. He sets out on a journey to find him, driven by his gratitude and the need for closure.
A visually impaired man, who has been searching for the young man who saved his life 20 years ago, sets out on a journey to find him. The young man had pulled him off the train tracks just in time, and the blind man wants to thank him and learn more about him.
A visually impaired man, who has been searching for the young man who saved his life 20 years ago, sets out on a journey to find him. The young man had pulled","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",2.195340633392334
hf.generate,0,0,1244,10,10,This month some important Walmart news did not get the attention it deserved. The news wasn't some flashy announcement about ,"This month some important Walmart news did not get the attention it deserved. The news wasn't some flashy announcement about 1-day shipping or a new product line. Instead, it was about Walmart's continued commitment to creating jobs and opportunities for its associates.
Walmart announced that it has increased its minimum wage for hourly employees to $12 an hour. This is a significant increase, especially considering that the federal minimum wage in the United States is still just $7.25 an hour. In addition to the minimum wage increase, Walmart also announced that it will provide a one-time bonus of up to $1,000 to its hourly associates who have been with the company for at least 91 days.
These moves are significant because they demonstrate Walmart's commitment to its","1-day shipping or a new product line. Instead, it was about Walmart's continued commitment to creating jobs and opportunities for its associates.
Walmart announced that it has increased its minimum wage for hourly employees to $12 an hour. This is a significant increase, especially considering that the federal minimum wage in the United States is still just $7.25 an hour. In addition to the minimum wage increase, Walmart also announced that it will provide a one-time bonus of up to $1,000 to its hourly associates who have been with the company for at least 91 days.
These moves are significant because they demonstrate Walmart's commitment to its","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",2.3211302757263184
hf.generate,0,0,1246,12,12,The Linux kernel now includes everything that is needed to use 3D acceleration with all GeForce graphics chips. Drivers have ,"The Linux kernel now includes everything that is needed to use 3D acceleration with all GeForce graphics chips. Drivers have 3D acceleration. I installed the Nvidia drivers to the 3D acceleration, but no matter what I do, I can’t get 3D acceleration working on my Debian Jessie system.
I followed the instructions on the Nvidia website, installing the 355.11 driver, but after the installation, I did not have any acceleration or rendering in any 3D application.
To check if 3D acceleration is working, you can run the command `glxinfo | grep rendering` and `glxinfo | grep direct`. The output should be something like:
```
direct rendering: Yes
```
If the output is `","3D acceleration. I installed the Nvidia drivers to the 3D acceleration, but no matter what I do, I can’t get 3D acceleration working on my Debian Jessie system.
I followed the instructions on the Nvidia website, installing the 355.11 driver, but after the installation, I did not have any acceleration or rendering in any 3D application.
To check if 3D acceleration is working, you can run the command `glxinfo | grep rendering` and `glxinfo | grep direct`. The output should be something like:
```
direct rendering: Yes
```
If the output is `","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",3.0532631874084473
hf.generate,0,0,1248,14,14,Last summer I took a cross-country road trip with a group of people driving different types of electric vehicles. It ,"Last summer I took a cross-country road trip with a group of people driving different types of electric vehicles. It 2019 I drove a Tesla Model 3 from California to New York City, where I met up with a friend who was driving a Nissan Leaf. Together we drove up the East Coast, visiting several charging stations and comparing notes on our experiences with the cars.

We started the trip with a full charge in California, but as we drove further east, we began to notice that charging stations were fewer and farther between. Some of the stations we encountered were in rough shape, with broken or missing charging equipment. Others required specific types of charging cables or adapters that we didn’t have.

Despite these challenges, our cars held up well and we were","2019 I drove a Tesla Model 3 from California to New York City, where I met up with a friend who was driving a Nissan Leaf. Together we drove up the East Coast, visiting several charging stations and comparing notes on our experiences with the cars.

We started the trip with a full charge in California, but as we drove further east, we began to notice that charging stations were fewer and farther between. Some of the stations we encountered were in rough shape, with broken or missing charging equipment. Others required specific types of charging cables or adapters that we didn’t have.

Despite these challenges, our cars held up well and we were","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",3.42999267578125
hf.generate,0,0,1250,16,16,"According to Variety, one of the movies about the 1973 tennis match between Billie Jean King and Bobby Riggs is ","According to Variety, one of the movies about the 1973 tennis match between Billie Jean King and Bobby Riggs is 55 Minutes to Impact. The film stars Emma Stone as King and Steve Carell as Riggs. The film is being directed by Jonathan Dayton and Valerie Faris, who directed Little Miss Sunshine and The Biggest Little Farm.
The movie is based on the true story of the famous tennis match, which was played on September 20, 1973, at the Houston Astrodome. The match was seen as a symbol of the women's liberation movement, with King representing the strength and abilities of women and Riggs, a former tennis champion, representing the societal attitudes towards women's roles in sports.
The movie is expected to delve into the","55 Minutes to Impact. The film stars Emma Stone as King and Steve Carell as Riggs. The film is being directed by Jonathan Dayton and Valerie Faris, who directed Little Miss Sunshine and The Biggest Little Farm.
The movie is based on the true story of the famous tennis match, which was played on September 20, 1973, at the Houston Astrodome. The match was seen as a symbol of the women's liberation movement, with King representing the strength and abilities of women and Riggs, a former tennis champion, representing the societal attitudes towards women's roles in sports.
The movie is expected to delve into the","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",4.129674434661865
hf.generate,0,0,1252,18,18,"Politico, which broke the PR story, reports, “The group circulated a memo to reporters and producers late Monday that discouraged ","Politico, which broke the PR story, reports, “The group circulated a memo to reporters and producers late Monday that discouraged 14 prominent lawmakers, including Democrats and Republicans, from speaking with news outlets because they were ‘high-risk’ targets for Chinese espionage.” The memo, which was obtained by POLITICO, noted that the lawmakers in question were “targets for recruitment by Chinese intelligence agents” and that speaking with them could “risk compromising national security.”
The memo was reportedly circulated by the Chinese-American Community Center, a non-profit organization that claims to promote cultural exchange and understanding between China and the United States. The group, which is not affiliated with the Chinese government, claims to have received threats from Chinese intelligence agents and is seeking to protect its members and their families from “target","14 prominent lawmakers, including Democrats and Republicans, from speaking with news outlets because they were ‘high-risk’ targets for Chinese espionage.” The memo, which was obtained by POLITICO, noted that the lawmakers in question were “targets for recruitment by Chinese intelligence agents” and that speaking with them could “risk compromising national security.”
The memo was reportedly circulated by the Chinese-American Community Center, a non-profit organization that claims to promote cultural exchange and understanding between China and the United States. The group, which is not affiliated with the Chinese government, claims to have received threats from Chinese intelligence agents and is seeking to protect its members and their families from “target","{""do_sample"": true, ""temperature"": 1.0, ""top_p"": 0.95, ""top_k"": 50, ""repetition_penalty"": 1.0, ""max_new_tokens"": 128}",6.690812110900879
